,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
0,2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,4.6,440383.0,22 total hours,155 lectures,All Levels,319.99,1399.99,"1,629,692 students"
1,The Web Developer Bootcamp 2022,Colt Steele,4.7,248508.0,64 total hours,615 lectures,All Levels,269.99,1399.99,"830,559 students"
2,The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,4.7,234837.0,65.5 total hours,490 lectures,All Levels,349.99,1699.99,"794,897 students"
3,Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmüller,4.6,174576.0,34.5 total hours,472 lectures,All Levels,319.99,1599.99,"634,196 students"
4,Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",4.5,171838.0,80.5 total hours,401 lectures,All Levels,349.99,849.99,"727,934 students"
5,"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,166128.0,49.5 total hours,495 lectures,All Levels,319.99,1599.99,"649,985 students"
6,Machine Learning A-Z™: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",4.5,163104.0,42.5 total hours,287 lectures,All Levels,269.99,1299.99,"900,823 students"
7,The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,4.7,156031.0,69 total hours,320 lectures,All Levels,349.99,1699.99,"699,335 students"
8,100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,4.7,150024.0,64 total hours,676 lectures,All Levels,319.99,1399.99,"662,274 students"
9,Python for Data Science and Machine Learning Bootcamp,Jose Portilla,4.6,122487.0,25 total hours,165 lectures,All Levels,319.99,1399.99,"588,524 students"
10,The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team",4.6,114535.0,32 total hours,517 lectures,All Levels,319.99,1699.99,"539,202 students"
11,Automate the Boring Stuff with Python Programming,Al Sweigart,4.7,103366.0,9.5 total hours,51 lectures,All Levels,319.99,479.99,"1,060,445 students"
12,Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie",4.7,96126.0,18.5 total hours,140 lectures,All Levels,349.99,1599.99,"433,485 students"
13,Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",4.6,94413.0,72.5 total hours,534 lectures,All Levels,269.99,849.99,"394,722 students"
14,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,4.6,89742.0,53.5 total hours,327 lectures,All Levels,319.99,1399.99,"280,503 students"
15,Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,4.8,85094.0,37.5 total hours,151 lectures,All Levels,349.99,1699.99,"341,962 students"
16,iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,4.8,80067.0,60.5 total hours,542 lectures,All Levels,349.99,1699.99,"311,592 students"
17,Modern React with Redux,Stephen Grider,4.7,77591.0,52.5 total hours,574 lectures,All Levels,319.99,1399.99,"275,832 students"
18,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",4.6,74438.0,37.5 total hours,650 lectures,Beginner,319.99,1399.99,"344,881 students"
19,The Complete Web Developer Course 2.0,"Rob Percival, Codestars • over 2 million students worldwide!",4.6,70448.0,28.5 total hours,288 lectures,All Levels,269.99,1299.99,"304,994 students"
20,The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",4.6,67880.0,35 total hours,177 lectures,All Levels,269.99,629.99,"283,695 students"
21,Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,4.6,66391.0,42.5 total hours,568 lectures,All Levels,349.99,1699.99,"282,683 students"
22,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Sam Pattuzzi, GameDev.tv Team, Stephen Ulibarri",4.7,61325.0,29.5 total hours,207 lectures,All Levels,269.99,1299.99,"319,855 students"
23,The Python Mega Course: Learn Python in 40 Days with 18 Apps,Ardit Sulce,4.6,59372.0,36.5 total hours,335 lectures,All Levels,319.99,1399.99,"279,373 students"
24,C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,4.5,57641.0,5.5 total hours,87 lectures,Beginner,349.99,1399.99,"191,563 students"
25,The Complete Web Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery",4.7,57562.0,38.5 total hours,399 lectures,All Levels,319.99,1699.99,"197,701 students"
26,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program",4.7,56703.0,20 total hours,180 lectures,All Levels,349.99,1699.99,"280,933 students"
27,Vue - The Complete Guide (incl. Router & Composition API),Maximilian Schwarzmüller,4.7,56394.0,32 total hours,329 lectures,All Levels,319.99,1599.99,"206,761 students"
28,Flutter & Dart - The Complete Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,54299.0,42.5 total hours,378 lectures,All Levels,319.99,1599.99,"216,495 students"
29,Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",4.6,53453.0,46 total hours,305 lectures,All Levels,349.99,849.99,"223,168 students"
30,Docker and Kubernetes: The Complete Guide,Stephen Grider,4.7,51210.0,22 total hours,321 lectures,All Levels,269.99,719.99,"264,566 students"
31,R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team",4.6,48259.0,10.5 total hours,79 lectures,All Levels,269.99,1399.99,"242,563 students"
32,JavaScript: Understanding the Weird Parts,Anthony Alicea,4.8,45752.0,12 total hours,89 lectures,All Levels,349.99,1299.99,"180,386 students"
33,The Complete 2021 Flutter Development Bootcamp with Dart,Dr. Angela Yu,4.6,45652.0,29 total hours,217 lectures,All Levels,349.99,1599.99,"156,400 students"
34,Python and Django Full Stack Web Developer Bootcamp,Jose Portilla,4.5,45321.0,32 total hours,198 lectures,All Levels,319.99,1699.99,"186,915 students"
